role,file,path,size_bytes,sha256
harga_pangan_bapanas,bapanas_harga_pangan_raw_normalized_all_rows.csv,/content/proyek_prediksi_pangan_usd_idr_revisi/input/bapanas_harga_pangan_raw_normalized_all_rows.csv,3884879,1ed7aa600fe2dc841920d6098ef9e2764419855b639591ad225fe44ee2e0591d
usd_idr,usd_idr_bulanan_oecd_fred_2022_2026_mei.csv,/content/proyek_prediksi_pangan_usd_idr_revisi/input/usd_idr_bulanan_oecd_fred_2022_2026_mei.csv,5493,4c4a997c77798d7fceb5716125a47a12fee21cb0abc3ee46046edbdb84b5217f
