experiment,model_family,config_name,include_usd_idr,fold_tercakup,mean_mae,std_mae,mean_rmse,mean_r2,mean_smape_pct,mean_median_absolute_error,mean_bias,mean_directional_accuracy_pct
Naif Persistensi (0%),Baseline,baseline,False,4,5.609050730896014,1.7287959507331325,10.982984254607493,-0.006672943430563016,198.43277525640082,2.00601870738957,0.1413771873878066,
Random Forest | tanpa USD/IDR | rf_regularized,Random Forest,rf_regularized,False,4,6.078659521694763,1.611890737625916,11.742165231699138,-0.18012838319240612,149.48641421136682,2.1826353634523046,0.32403718002556714,53.63543452105679
XGBoost | tanpa USD/IDR | xgb_regularized,XGBoost,xgb_regularized,False,4,6.365116723187746,1.480295888115548,12.098758309521902,-0.27740754289490954,147.53887149358002,2.4913775199302113,0.23892820944972687,54.70687408804328
XGBoost | dengan USD/IDR | xgb_regularized,XGBoost,xgb_regularized,True,4,6.890068735740645,1.7838180067110465,12.453588196555799,-0.30909892417171275,147.6309843063679,2.727475597948766,2.5724936561300074,51.6682317511078
Random Forest | dengan USD/IDR | rf_regularized,Random Forest,rf_regularized,True,4,7.282311204883231,2.353373527778567,13.42196635773361,-0.5352138650674796,150.95674115606624,2.612528813223353,2.9598186346660107,51.96817524322206
Naif Momentum (Δt-1),Baseline,baseline,False,4,8.4940978474005,3.4906189855693923,16.720705088459063,-1.2733262431925525,138.30622311192622,2.822857886164637,1.0765056033998799,56.54280779923187
