dataset,baris,kolom,duplikat_penuh,missing_total,tanggal_min,tanggal_max,tanggal_tidak_valid
harga_pangan_bapanas,41442,11,0,10211,2021-01-01,2026-01-01,0
usd_idr,53,5,0,4,2022-01-01,2026-05-01,0
