level_harga,observasi,provinsi,komoditas,tanggal_mulai,tanggal_akhir,konflik_harga_sumber
konsumen,23275,38,25,2022-01-01,2025-05-01,0
produsen,8000,25,17,2023-01-01,2026-01-01,0
