level_harga,observasi,provinsi,komoditas,tanggal_mulai,tanggal_akhir,harga_kosong
konsumen,28672,38,25,2021-01-01,2025-05-01,522
produsen,12770,38,17,2023-01-01,2026-01-01,4770
