tanggal,level_harga,provinsi,komoditas,harga_rupiah,harga_bulan_berikutnya,perubahan_harga_1_bulan_pct,target_perubahan_harga_1_bulan_pct,n_raw_rows,unique_price_count,min_price,max_price,flag_change_abs_100pct,flag_target_abs_100pct,flag_change_mad,flag_target_mad,flag_source_conflict
2023-12-01,konsumen,Nusa Tenggara Timur,Gula Pasir Lokal/Curah,17610.0,17837.0,6.7208047997091125,1.2890403180011445,1,1,17610.0,17610.0,False,False,True,False,False
2023-10-01,konsumen,Sulawesi Utara,Beras Medium,13745.0,13568.0,6.9067434082600965,-1.2877409967260833,1,1,13745.0,13745.0,False,False,True,False,False
2025-04-01,konsumen,Papua,Beras SPHP,13372.0,13200.0,-2.8691799230042836,-1.286269817529162,1,1,13372.0,13372.0,False,False,True,False,False
2023-09-01,konsumen,Riau,Beras Medium,12723.0,12886.0,7.07793300791113,1.281144384186117,1,1,12723.0,12723.0,False,False,True,False,False
2025-01-01,konsumen,Papua Tengah,Minyak Goreng Kemasan,24826.0,25144.0,-9.35446180809113,1.2809151695802878,1,1,24826.0,24826.0,False,False,True,False,False
2022-04-01,konsumen,Kalimantan Tengah,Minyak Goreng Kemasan,25067.0,24749.0,21.184433164128592,-1.268600151593724,1,1,25067.0,25067.0,False,False,True,False,False
2023-09-01,konsumen,Kepulauan Bangka Belitung,Beras Premium,15230.0,15422.0,7.110204655742325,1.2606697307944836,1,1,15230.0,15230.0,False,False,True,False,False
2024-05-01,konsumen,D.I Yogyakarta,Beras Premium,14520.0,14340.0,-5.982905982905984,-1.2396694214875992,1,1,14520.0,14520.0,False,False,True,False,False
2023-09-01,konsumen,Bali,Beras Medium,13352.0,13516.0,6.9957528648128875,1.2282804074295939,1,1,13352.0,13352.0,False,False,True,False,False
2023-10-01,konsumen,Sulawesi Tengah,Beras Premium,14620.0,14796.0,7.444697582126847,1.2038303693570507,1,1,14620.0,14620.0,False,False,True,False,False
2024-11-01,konsumen,Papua Pegunungan,Beras Premium,24677.0,24974.0,23.38499999999999,1.2035498642460674,1,1,24677.0,24677.0,False,False,True,False,False
2023-10-01,konsumen,Nusa Tenggara Timur,Beras Premium,15560.0,15746.0,7.517965726920961,1.195372750642676,1,1,15560.0,15560.0,False,False,True,False,False
2024-05-01,konsumen,Kalimantan Selatan,Kedelai Biji Kering,12563.0,12414.0,-10.289917166523853,-1.186022446867785,1,1,12563.0,12563.0,False,False,True,False,False
2023-11-01,produsen,Jawa Barat,GKP Tk. Petani,6615.0,6693.0,23.529411764705888,1.1791383219954543,1,1,6615.0,6615.0,False,False,True,False,False
2024-10-01,konsumen,Papua,Kedelai Biji Kering,11520.0,11385.0,-13.75308826832372,-1.171875,1,1,11520.0,11520.0,False,False,True,False,False
2025-03-01,konsumen,Kalimantan Utara,Tepung Terigu Curah,10118.0,10000.0,-9.644579389176645,-1.166238387033014,1,1,10118.0,10118.0,False,False,True,False,False
2024-02-01,konsumen,Bali,Kedelai Biji Kering,13309.0,13464.0,10.246852220013247,1.1646254414306112,1,1,13309.0,13309.0,False,False,True,False,False
2022-09-01,konsumen,Maluku,Daging Sapi Murni,115000.0,113672.0,-4.086738949124269,-1.154782608695648,1,1,115000.0,115000.0,False,False,True,False,False
2024-02-01,konsumen,Jawa Timur,Beras Premium,15333.0,15510.0,8.521480642649859,1.1543729211504594,1,1,15333.0,15333.0,False,False,True,False,False
2024-01-01,produsen,Nusa Tenggara Timur,Beras Premium Tingkat Penggilingan,14500.0,14667.0,20.833333333333325,1.1517241379310317,1,1,14500.0,14500.0,False,False,True,False,False
2024-05-01,konsumen,Nusa Tenggara Timur,Kedelai Biji Kering,13406.0,13253.0,-12.29883553578438,-1.1412800238699061,1,1,13406.0,13406.0,False,False,True,False,False
2024-04-01,konsumen,Sulawesi Selatan,Beras Medium,12817.0,12671.0,-7.831152020710485,-1.1391121167199758,1,1,12817.0,12817.0,False,False,True,False,False
2023-11-01,produsen,D.I Yogyakarta,Beras Medium Tingkat Penggilingan,12561.0,12704.0,14.004356507533133,1.1384443913701192,1,1,12561.0,12561.0,False,False,True,False,False
2023-09-01,konsumen,Banten,Beras Medium,12286.0,12425.0,7.058208434994762,1.1313690379293417,1,1,12286.0,12286.0,False,False,True,False,False
2025-02-01,produsen,Nusa Tenggara Timur,Sapi Hidup (Tingkat Peternak/RPH),47091.0,47620.0,5.9057685820308015,1.1233569047164105,1,1,47091.0,47091.0,False,False,True,False,False
2024-06-01,konsumen,Papua Pegunungan,Beras Premium,19778.0,20000.0,-19.868730248764276,1.1224592982101322,1,1,19778.0,19778.0,False,False,True,False,False
2024-10-01,konsumen,Kepulauan Riau,Minyak Goreng Curah,17010.0,17199.0,8.954650269023823,1.1111111111111072,1,1,17010.0,17010.0,False,False,True,False,False
2022-04-01,konsumen,Bali,Minyak Goreng Kemasan,24442.0,24708.0,33.62856049423213,1.088290647246537,1,1,24442.0,24442.0,False,False,True,False,False
2024-04-01,konsumen,Sulawesi Selatan,Beras Premium,14770.0,14613.0,-5.851606323304437,-1.0629654705484048,1,1,14770.0,14770.0,False,False,True,False,False
2025-01-01,konsumen,Papua Barat,Daging Sapi Murni,125508.0,124175.0,-3.9827409458818464,-1.0620836918762144,1,1,125508.0,125508.0,False,False,True,False,False
2024-04-01,produsen,Lampung,GKP Tk. Petani,5039.0,4986.0,-22.38139248305607,-1.0517959912681119,1,1,5039.0,5039.0,False,False,True,False,False
2025-01-01,konsumen,Kalimantan Utara,Tepung Terigu Kemasan,12722.0,12855.0,-6.345700824499412,1.045433108001892,1,1,12722.0,12722.0,False,False,True,False,False
